lead_id,channel,industry,job_title_seniority,employee_size_bucket,business_email,sessions_30d,pageviews_30d,service_page_views_30d,case_study_views_30d,pricing_page_views_30d,form_starts_30d,form_submits_30d,email_opens_30d,email_clicks_30d,days_since_last_session,created_at,converted
Cold_0010,Direct,Home Services,IC,51-200,1,1,2,0,0,0,0,0,0,0,18,2025-02-08T00:00:00,0
Warm_0025,Organic,Healthcare,Director,11-50,1,0,6,2,0,1,0,0,2,0,20,2025-01-07T00:00:00,0
Cold_0140,Referral,Home Services,VP,11-50,1,1,1,0,0,0,1,0,0,1,22,2025-03-13T00:00:00,0
Cold_0047,Paid Search,Home Services,IC,1-10,0,4,10,0,1,2,0,0,1,0,15,2025-07-25T00:00:00,0
Cold_0095,Paid Search,Healthcare,IC,1-10,1,3,9,1,0,2,1,0,0,0,9,2025-05-01T00:00:00,0
Cold_0102,Organic,Home Services,Manager,1-10,1,1,9,0,1,1,0,0,3,1,10,2025-04-07T00:00:00,0
Cold_0085,Organic,Healthcare,IC,1-10,0,0,8,2,1,1,1,0,1,0,13,2025-09-05T00:00:00,0
Hot_0062,Paid Search,Retail,VP,51-200,1,10,15,7,1,1,1,1,1,0,2,2025-06-09T00:00:00,1
Hot_0067,Paid Search,Home Services,IC,1-10,1,3,19,9,0,2,3,2,1,1,0,2025-01-21T00:00:00,1
Warm_0080,Referral,Retail,Manager,51-200,1,4,8,1,3,1,0,0,1,0,7,2025-08-14T00:00:00,0
Warm_0036,Referral,Home Services,Manager,51-200,1,3,14,2,1,1,1,0,0,1,8,2025-01-25T00:00:00,0
Hot_0070,Referral,Professional Services,Manager,200+,0,3,8,2,2,4,2,0,6,1,0,2025-03-03T00:00:00,0
Cold_0074,Paid Search,Retail,Manager,11-50,0,0,5,1,1,1,0,0,0,0,7,2025-05-27T00:00:00,0
Cold_0056,Organic,Healthcare,IC,11-50,1,4,4,0,1,2,0,0,1,0,15,2025-04-27T00:00:00,0
Hot_0011,Organic,SaaS,VP,11-50,1,6,14,3,3,1,1,1,1,2,0,2025-09-18T00:00:00,0
Cold_0138,Paid Search,Healthcare,C-Suite,1-10,1,2,5,1,1,2,0,0,0,0,11,2025-12-18T00:00:00,0
Cold_0125,Organic,SaaS,C-Suite,51-200,0,1,6,1,0,0,0,0,3,0,12,2025-04-15T00:00:00,0
Hot_0078,Paid Search,SaaS,VP,11-50,1,3,7,1,1,0,0,1,1,1,7,2025-11-20T00:00:00,0
Cold_0083,Referral,Healthcare,Manager,11-50,0,0,3,3,0,0,0,0,2,0,16,2025-01-21T00:00:00,0
Warm_0038,Paid Search,Manufacturing,Director,11-50,1,3,6,2,1,4,0,0,2,0,8,2025-07-11T00:00:00,1
Cold_0006,Referral,Home Services,Manager,51-200,0,3,3,2,0,0,0,0,1,0,20,2025-03-28T00:00:00,0
Cold_0043,Paid Search,Home Services,Director,11-50,0,3,6,2,1,0,2,0,0,1,10,2025-12-24T00:00:00,0
Cold_0120,Organic,Retail,Director,11-50,1,1,5,1,0,0,0,0,0,0,15,2025-10-14T00:00:00,0
Hot_0057,Email,Manufacturing,Manager,51-200,1,7,19,5,1,6,3,2,4,0,0,2025-01-28T00:00:00,1
Cold_0026,Referral,SaaS,Director,51-200,1,2,2,1,0,0,0,0,0,0,21,2025-06-23T00:00:00,0
Cold_0111,Direct,Home Services,Manager,200+,1,1,8,2,0,1,0,0,1,1,13,2025-08-12T00:00:00,0
Hot_0040,Paid Search,Professional Services,Manager,51-200,0,1,13,7,2,4,2,2,3,2,0,2025-11-23T00:00:00,1
Hot_0007,Paid Social,Manufacturing,VP,51-200,1,4,7,5,3,2,3,1,3,1,0,2025-09-25T00:00:00,1
Hot_0029,Organic,Manufacturing,Manager,11-50,0,5,14,3,5,5,2,1,4,2,1,2025-07-05T00:00:00,1
Warm_0098,Direct,Healthcare,IC,200+,1,4,9,0,1,1,5,0,4,1,4,2025-03-09T00:00:00,1
Hot_0013,Email,Manufacturing,IC,1-10,0,7,12,5,4,0,1,3,7,1,0,2025-02-12T00:00:00,1
Hot_0048,Email,Retail,VP,1-10,1,4,12,5,1,2,4,2,4,1,2,2025-08-10T00:00:00,1
Warm_0071,Organic,Healthcare,VP,51-200,1,7,9,2,1,2,1,1,1,0,17,2025-04-17T00:00:00,0
Warm_0093,Organic,Healthcare,Director,51-200,1,5,13,5,2,1,2,0,4,0,2,2025-10-22T00:00:00,1
Hot_0023,Direct,Manufacturing,Manager,11-50,1,5,15,7,1,3,5,2,4,0,4,2025-12-21T00:00:00,1
Hot_0061,Paid Search,Manufacturing,VP,51-200,0,5,6,1,3,4,2,1,3,0,2,2025-10-26T00:00:00,0
Warm_0043,Paid Social,SaaS,Manager,11-50,1,5,12,3,3,2,0,0,1,0,6,2025-06-10T00:00:00,1
Cold_0058,Paid Search,Manufacturing,VP,11-50,1,1,2,0,1,0,1,0,2,0,10,2025-03-03T00:00:00,0
Cold_0034,Paid Social,SaaS,IC,11-50,0,2,14,2,0,1,0,0,2,0,16,2025-10-02T00:00:00,1
Cold_0064,Paid Social,Home Services,C-Suite,200+,0,2,2,0,0,0,0,0,2,0,18,2025-07-05T00:00:00,0
Warm_0029,Referral,Home Services,VP,11-50,1,2,6,2,0,0,1,0,0,0,7,2025-07-14T00:00:00,0
Hot_0049,Referral,Home Services,Manager,11-50,1,5,8,3,0,1,0,1,2,0,0,2025-04-19T00:00:00,1
Warm_0037,Referral,Manufacturing,Manager,11-50,0,5,8,2,1,0,1,0,0,0,7,2025-01-20T00:00:00,1
Cold_0112,Organic,Home Services,IC,11-50,1,2,6,2,0,1,0,0,4,0,13,2025-12-31T00:00:00,0
Hot_0022,Referral,Manufacturing,Director,11-50,1,5,23,4,0,4,0,1,1,0,0,2025-06-03T00:00:00,1
Cold_0046,Paid Search,SaaS,Manager,200+,1,1,1,2,0,0,0,0,1,0,16,2025-04-16T00:00:00,1
Warm_0083,Referral,Healthcare,Manager,51-200,1,6,12,1,1,2,2,2,3,0,0,2025-10-01T00:00:00,0
Hot_0060,Organic,SaaS,VP,11-50,0,4,9,3,0,3,1,1,1,1,4,2025-11-20T00:00:00,0
Warm_0001,Direct,Retail,IC,200+,1,4,7,1,2,1,1,0,0,0,15,2025-05-18T00:00:00,0
Warm_0008,Organic,Home Services,VP,1-10,1,5,4,5,2,0,1,0,1,0,12,2025-10-29T00:00:00,1
Cold_0091,Paid Search,Retail,VP,11-50,1,3,13,3,2,2,1,0,2,1,9,2025-04-21T00:00:00,1
Cold_0017,Organic,Healthcare,VP,11-50,0,1,6,1,1,0,0,0,0,0,13,2025-08-03T00:00:00,0
Cold_0079,Paid Search,Retail,Director,1-10,1,3,5,1,0,1,0,0,1,0,15,2025-03-06T00:00:00,0
Warm_0005,Organic,Manufacturing,Manager,200+,1,5,5,3,0,1,0,1,4,0,3,2025-09-24T00:00:00,1
Cold_0008,Paid Search,Home Services,Manager,200+,1,1,5,1,0,1,0,0,2,1,16,2025-11-03T00:00:00,0
Cold_0078,Organic,Professional Services,Director,200+,1,0,1,1,1,1,0,0,0,0,5,2025-04-15T00:00:00,0
Warm_0006,Email,Retail,IC,11-50,1,5,11,5,1,3,1,0,2,0,10,2025-03-21T00:00:00,0
Hot_0045,Organic,Healthcare,IC,1-10,1,1,12,3,0,6,6,2,3,1,5,2025-11-04T00:00:00,1
Hot_0041,Paid Search,SaaS,C-Suite,1-10,1,3,16,5,1,1,3,1,0,0,0,2025-03-26T00:00:00,1
Warm_0024,Email,Manufacturing,Manager,51-200,0,2,9,4,2,0,0,0,3,1,4,2025-10-10T00:00:00,1
Cold_0004,Organic,SaaS,Director,1-10,0,1,4,1,0,2,0,0,2,0,13,2025-09-14T00:00:00,0
Warm_0034,Organic,Retail,IC,200+,1,2,10,3,2,0,1,0,1,0,0,2025-11-08T00:00:00,0
Warm_0033,Organic,SaaS,VP,11-50,1,3,12,3,0,3,0,0,4,0,13,2025-11-20T00:00:00,1
Hot_0001,Referral,Retail,Director,1-10,0,10,14,5,1,4,2,1,3,1,0,2025-01-02T00:00:00,1
Cold_0061,Organic,Professional Services,Manager,200+,1,2,6,0,0,0,0,1,2,0,20,2025-09-01T00:00:00,0
Hot_0026,Referral,Home Services,Director,1-10,1,10,12,6,3,2,3,0,3,2,0,2025-12-16T00:00:00,1
Cold_0076,Paid Search,Home Services,Director,200+,1,2,2,0,0,1,0,0,2,0,20,2025-08-14T00:00:00,0
Warm_0045,Paid Social,Home Services,Manager,51-200,1,0,14,5,1,1,1,0,4,0,2,2025-03-03T00:00:00,0
Cold_0018,Email,Professional Services,Manager,1-10,0,3,4,0,0,0,0,0,0,0,22,2025-06-09T00:00:00,0
Cold_0025,Organic,Manufacturing,Manager,51-200,1,2,2,0,1,0,0,0,0,0,10,2025-04-11T00:00:00,0
Warm_0041,Paid Social,Retail,Manager,11-50,1,4,7,3,3,0,3,0,2,0,9,2025-08-10T00:00:00,0
Cold_0119,Email,SaaS,Manager,1-10,1,4,5,1,1,0,0,0,0,0,15,2025-04-10T00:00:00,0
Warm_0092,Paid Search,Home Services,IC,200+,0,6,15,3,1,2,0,0,0,1,5,2025-06-10T00:00:00,0
Cold_0077,Email,Manufacturing,IC,11-50,1,3,6,2,1,0,0,0,2,0,8,2025-02-26T00:00:00,0
Cold_0109,Direct,Retail,Director,51-200,1,1,6,3,2,1,1,0,2,0,9,2025-02-12T00:00:00,0
Warm_0070,Organic,Manufacturing,Director,11-50,1,4,5,6,2,1,0,0,0,1,6,2025-05-30T00:00:00,1
Cold_0133,Organic,SaaS,Director,11-50,1,2,6,3,2,1,2,0,1,1,14,2025-11-19T00:00:00,1
Cold_0114,Organic,Healthcare,Director,11-50,1,4,1,0,4,1,1,0,3,0,7,2025-10-17T00:00:00,0
Hot_0073,Paid Social,Retail,IC,51-200,1,4,11,8,3,2,3,2,2,2,0,2025-05-19T00:00:00,1
Cold_0127,Referral,Retail,Manager,11-50,1,3,5,1,1,2,1,1,2,0,7,2025-11-03T00:00:00,0
Hot_0066,Direct,Home Services,VP,1-10,1,5,20,4,1,1,0,0,2,0,9,2025-01-05T00:00:00,1
Cold_0115,Paid Social,Professional Services,Manager,200+,1,6,2,2,2,0,1,0,0,0,17,2025-06-06T00:00:00,0
